
irr,tamb,tmodule,wind,pack
693,42.22,54.25,1.4,34.63
683,41.81,53.59,1.4,34.08
681,41.81,52.86,1.6,34.04
683,42.06,53.03,1.7,34.05
678,42.06,52.86,1.8,34.14
671,42.46,52.62,1.9,33.67
673,42.22,52.46,1.9,33.56
671,42.06,52.05,1.9,33.75
664,42.06,51.65,1.9,33.35
656,42.22,51.81,1.9,32.95
647,42.06,51.81,1.8,32.67
639,42.22,51.65,1.6,32.32
639,42.46,51.65,1.6,32.61
642,42.63,51.65,1.5,32.45
642,42.63,51.08,1.6,32.37
642,42.87,51.24,1.6,32.41
629,42.87,51.08,1.7,32.06
625,43.03,51.08,1.7,31.74
622,43.28,51.08,1.7,31.58
612,43.44,51.08,1.7,31.14
610,43.6,51.08,1.7,31.16
592,43.6,50.83,1.7,30.5
589,43.28,50.83,1.8,30.09
585,43.28,50.83,1.7,29.81
580,43.28,50.83,1.5,29.55
580,43.03,50.67,1.4,29.66
582,42.22,49.7,1.5,29.83
585,41.81,49.45,1.5,29.89
580,41.65,49.45,1.5,29.73
565,41.49,49.45,1.4,29.15
558,41.81,49.29,1.3,28.86
560,41.49,49.05,1.3,28.62
550,41.08,48.64,1.4,28.16
533,40.03,48.07,1.6,27.35
519,39.7,47.5,1.7,27.1
516,39.46,47.66,1.7,26.81
506,39.7,47.66,1.4,26.3
506,39.46,47.66,1.4,26.01
509,38.65,46.85,1.5,26.1
511,38.24,46.69,1.6,25.98
509,37.91,45.71,1.7,26.33
501,37.91,45.71,1.6,26.26
494,37.26,45.47,1.6,25.81
480,37.26,45.47,1.5,24.84
465,37.26,45.71,1.5,23.96
461,37.67,45.47,1.6,24.14
452,38.24,45.88,1.7,23.41
437,38.24,45.88,1.7,23.18
437,38.24,45.47,1.6,23.11
439,38.65,45.31,1.6,23.28
452,38.65,44.9,1.7,24.17
457,38.08,44.25,1.8,24.11
454,38.65,44.5,1.7,24.14
449,38.89,44.25,1.8,23.78
442,39.05,44.5,1.8,23.18
420,39.46,44.74,1.8,22.29
391,38.89,44.74,1.7,20.71
374,38.89,44.01,1.7,20.26
381,39.05,44.01,1.7,21.09
396,39.05,43.84,1.6,21.57
408,39.29,43.6,1.6,22.29
420,39.29,43.6,1.6,23.17
430,39.05,43.44,1.6,23.62
439,39.05,43.44,1.6,23.9
435,39.05,43.44,1.5,23.58
408,38.65,43.44,1.5,22.4
400,38.24,43.44,1.5,22.15
383,38.89,43.6,1.3,20.94
381,38.89,43.6,1.3,20.67
378,39.05,43.44,1.2,20.57
393,39.29,43.28,1.2,20.93
400,39.05,43.28,1.1,21.79
396,38.65,42.87,1.1,21.77
383,38.48,42.63,1.2,21.19
376,38.48,42.87,1.2,20.95
376,38.08,42.63,1.2,20.95
374,38.08,42.46,1.2,20.71
347,38.08,42.22,1.3,20.08
356,38.08,42.22,1.2,19.98
352,38.08,42.06,1.2,19.74
354,37.51,41.81,1.2,20.24
354,37.1,41.65,1.2,20.19
354,36.53,41.08,1.3,20.02
352,35.88,40.68,1.4,19.94
339,35.72,40.68,1.4,19.68
344,35.48,40.43,1.4,19.61
342,35.72,40.27,1.4,19.59
332,35.31,40.27,1.6,18.94
325,35.48,40.27,1.6,18.85
322,35.48,40.27,1.6,18.7
320,35.48,40.03,1.6,18.6
314,35.07,39.7,1.4,18.79
312,35.07,39.7,1.3,18.42
302,35.48,39.86,1.2,17.71
292,35.48,39.86,1.2,17.18
280,35.48,39.29,1.0,16.84
275,35.72,39.29,1.0,16.59
265,35.48,39.29,1.0,15.6
246,35.48,38.89,0.9,14.81
248,35.07,38.48,0.9,14.95
253,34.91,38.24,1.0,15.24
250,35.07,38.08,0.9,15.23
246,35.07,38.08,0.9,15.01
248,34.91,37.67,0.9,15.05
241,35.31,37.67,0.9,14.64
231,35.31,37.51,0.9,14.01
224,35.31,37.1,1.0,13.54
219,35.07,37.1,1.1,13.12
207,35.07,36.7,1.1,12.29
194,35.31,36.29,1.1,11.92
194,35.07,36.13,1.1,11.67
189,34.75,35.88,1.2,10.94
182,34.75,35.72,1.2,10.26
174,34.5,35.48,1.2,9.81
174,34.5,35.31,1.2,10.13
171,34.09,34.91,1.2,10.25
185,34.34,34.91,1.1,10.62
182,34.09,34.5,1.1,11.07
197,33.93,34.34,1.0,12.02
221,33.93,34.09,1.0,13.01
224,33.93,34.09,1.1,13.3
216,33.93,34.09,1.0,11.99
177,33.12,33.53,1.1,10.26
166,33.12,33.53,1.1,9.5
154,33.12,33.53,1.1,9.01
162,33.12,33.28,1.1,9.28
157,33.12,33.12,1.2,9.31
169,33.12,32.96,1.2,10.09
180,32.96,32.96,1.2,10.0
159,32.96,32.71,1.1,9.19
154,32.71,32.47,1.1,8.99
231,20.69,21.34,0.5,13.05
238,20.85,21.34,0.5,13.3
241,21.18,21.5,0.5,13.39
250,21.18,21.91,0.6,13.76
253,21.34,22.15,0.6,13.94
255,21.5,22.15,0.6,14.28
260,21.5,22.31,0.6,14.31
268,21.75,22.72,0.6,14.8
272,21.5,22.72,0.7,14.88
275,21.75,23.13,0.7,15.26
280,21.75,23.29,0.7,15.42
282,22.15,23.7,0.7,15.6
285,22.15,23.7,0.8,15.66
292,22.31,24.1,0.8,16.14
297,22.31,24.1,0.9,16.49
304,22.56,24.34,0.9,16.77
309,22.56,24.51,1.0,17.12
316,22.72,24.67,1.0,17.29
316,22.88,24.91,1.0,17.48
322,23.13,25.32,1.0,17.7
322,23.13,25.32,1.0,17.91
332,23.29,25.73,1.0,17.99
337,23.29,25.89,1.1,18.25
342,23.53,26.13,1.0,18.47
349,23.94,26.29,0.9,18.68
356,23.94,26.46,0.9,18.98
356,24.1,26.7,0.9,19.31
361,24.34,27.11,0.9,19.56
366,24.51,27.27,0.9,19.85
374,24.51,27.51,0.9,20.12
376,24.67,27.92,0.9,20.37
378,25.08,28.08,0.9,19.97
381,25.32,28.25,0.8,20.75
386,25.48,28.25,0.8,20.76
371,25.48,28.25,0.8,20.97
400,25.89,28.65,0.8,21.46
405,26.13,28.65,0.8,21.7
410,26.13,29.3,0.7,21.92
415,26.7,29.46,0.6,21.9
415,26.7,29.71,0.6,22.2
422,27.11,29.71,0.6,22.45
425,27.51,30.03,0.6,22.62
432,27.68,30.28,0.6,22.74
432,27.92,30.44,0.5,23.0
432,28.08,30.44,0.5,23.08
439,28.25,31.09,0.5,23.15
444,28.65,31.66,0.5,23.35
444,28.9,31.82,0.6,23.48
454,29.06,32.71,0.6,23.79
454,29.3,33.12,0.6,24.11
459,29.3,33.69,0.6,24.3
467,29.46,34.34,0.6,24.39
470,29.71,34.5,0.6,24.4
475,29.87,34.91,0.7,24.73
477,29.71,35.31,0.8,24.96
480,29.87,35.48,0.8,25.19
487,30.03,35.88,0.9,25.4
487,30.28,35.88,1.0,25.5
492,30.44,35.88,1.0,25.5
494,30.68,36.53,1.0,25.43
492,30.84,36.7,1.0,25.24
497,30.44,37.1,1.1,25.55
497,30.84,37.1,1.2,26.17
506,30.68,37.1,1.2,26.27
509,31.25,37.26,1.2,26.39
511,31.25,37.51,1.2,26.56
516,31.82,37.67,1.2,26.68
526,31.82,38.08,1.2,26.98
526,31.66,38.24,1.3,27.23
533,31.66,38.48,1.3,27.35
536,31.82,38.65,1.3,27.58
541,32.23,38.89,1.2,27.79
548,32.47,39.29,1.2,28.08
548,32.47,39.46,1.2,28.24
555,32.96,39.86,1.2,28.61
558,32.96,40.03,1.1,28.73
560,32.96,40.03,1.1,28.97
565,32.47,40.43,1.1,29.18
567,32.71,40.68,1.1,29.29
570,33.12,40.68,1.1,29.51
575,33.28,41.08,1.1,29.47
580,33.28,41.25,1.1,29.97
587,33.12,41.49,1.2,30.22
592,33.53,41.65,1.2,30.18
594,33.53,41.81,1.3,30.48
